# Official Stellarium sky-name aliases. Generated; do not edit.
# alias<TAB>englishName<TAB>language
‎‎-‎‎	Alya	ar
!  নীহারিকা	Exclamation Mark Nebula	bn
'LE' spiečius	The 'LE' Cluster	lt
'LE' 성단	The 'LE' Cluster	ko
'LE'-Haufen	The 'LE' Cluster	de
'LE'-þyrpingin	The 'LE' Cluster	is
'আর' দক্ষিন মুকুট নীহারিকা	R CrA Nebula	bn
'ই১' তারকাগুচ্ছ	E1 Cluster	bn
«Відбиток ноги» Мінковського	Minkowski's Footprint	uk
«Дірка у небесах» Гершеля	Herschel's Hole in the Heavens	uk
«Загублена Коштовність» Оріона	The Lost Jewel of Orion	uk
«Каустична Долина»	Delle Caustiche	uk
«Квінтет Стефана»	Stephan's Quintet	uk
«Метелик» Мінковського	Minkowski's Butterfly	uk
«Мініатюрна спіраль»	Miniature Spiral	uk
«Сем сясьцёр»	Seven Sisters	be
«Сіамські близнюки»	Siamese Twins	uk
«Скринька з коштовностями»	Jewel Box	uk
«Скринька» Гершеля	Herschel's Jewel Box	uk
«Фабрыка звышновых»	Supernova Factory	be
(z)සනියාහ්	Zaniah	si
(z)සවිජාවා	Zavijava	si
(z)සවුරක්	Zaurak	si
(z)සිබාල්	Zibal	si
(z)සුබෙනෙල්ගුනෙබි	Zubenelgenubi	si
(z)සුබෙනෙස්චමාලි	Zubeneschamali	si
(z)සොස්හා	Zosma	si
(zweitnächster Planetarischer Nebel)	Second Closest Planetary	de
‎‎(وعاء) الغليون‎‎	Pipe (bowl)	ar
[Pyhän] Katherinen pyörä	[St.] Katherine's Wheel	fi
[St.] Katherinas hjul	[St.] Katherine's Wheel	sv
[St.] Katherine's Wiel	[St.] Katherine's Wheel	nl
[Šv.] Kotrynos ratas	[St.] Katherine's Wheel	lt
0 أبو سيف بي‎	30 Dor B	ar
10 Υγιεία	Hygiea	el
1036 Γανυμήδης	Ganymed	el
106 Διώνη	Dione	el
107 Καμίλλη	Camilla	el
10월 소금과 후추 성단	October Salt-and-Pepper Cluster	ko
10月の塩コショウ星団	October Salt-and-Pepper Cluster	ja
11 Παρθενόπη	Parthenope	el
1125 Κίνα	China	el
1162 Λάρισα	Larissa	el
1162號小行星（Larissa）	Larissa	zh_TW
120347 Σαλάσια	Salacia	el
1221 Αμόρ	Amor	el
1235 Σόρια	Schorria	el
13 Ηγερία	Egeria	el
১৩ মুক্তা নীহারিকা	13th Pearl Nebula	bn
13-o Perlo ūkas	13th Pearl Nebula	lt
13:e pärlnebulosan	13th Pearl Nebula	sv
13. helmisumu	13th Pearl Nebula	fi
136108 Χαουμέια	Haumea	el
136472 Μακεμάκε	Makemake	el
1373 Τσιντσινάτι	Cincinnati	el
13e Parelnevel	13th Pearl Nebula	nl
13th Pearl Maglica	13th Pearl Nebula	hr
13th పెర్ల్ నెబ్యులా	13th Pearl Nebula	te
13번째 진주 성운	13th Pearl Nebula	ko
13番目の真珠星雲	13th Pearl Nebula	ja
15 Ευνομία	Eunomia	el
